Snapshot 260000 saved, average loss: 72.44744841, average time: 1.84933751702                                                                             
Snapshot 262000 saved, average loss: 72.6511972084, average time: 1.81608302701                                                                           
Snapshot 264000 saved, average loss: 72.8850073605, average time: 1.72107546103                                                                           
Snapshot 266000 saved, average loss: 73.0141785526, average time: 1.82003772604                                                                           
Snapshot 268000 saved, average loss: 72.8540380573, average time: 1.82926005197                                                                           
Snapshot 270000 saved, average loss: 72.7924389534, average time: 1.95259346402                                                                           
Snapshot 272000 saved, average loss: 72.9088990135, average time: 1.71527857244                                                                           
Snapshot 274000 saved, average loss: 72.9252922764, average time: 1.63438058996                                                                           
Snapshot 276000 saved, average loss: 72.7791516514, average time: 1.65848598957                                                                           
Snapshot 278000 saved, average loss: 72.9282317104, average time: 1.71307428193                                                                           
Snapshot 280000 saved, average loss: 72.5913598557, average time: 1.66860645354                                                                           
Snapshot 282000 saved, average loss: 72.7164218826, average time: 1.71684809256                                                                           
Snapshot 284000 saved, average loss: 72.7737754574, average time: 1.67641230798                                                                           
Snapshot 286000 saved, average loss: 72.7271891823, average time: 1.79454485595                                                                           
Snapshot 288000 saved, average loss: 72.6946905441, average time: 1.55209722209                                                                           
Snapshot 290000 saved, average loss: 72.984137022, average time: 1.65494234645                                                                            
Snapshot 292000 saved, average loss: 72.713103405, average time: 1.62525703895                                                                            
Snapshot 294000 saved, average loss: 72.423569479, average time: 1.69787341857                                                                            
Snapshot 296000 saved, average loss: 72.388960783, average time: 1.76569167602

Snapshot 298000 saved, average loss: 72.2759368687, average time: 1.73324287093                                                                           
Snapshot 300000 saved, average loss: 72.7751602135, average time: 1.66402106655                                                                           
Snapshot 302000 saved, average loss: 72.6225764313, average time: 1.69087582946                                                                           
Snapshot 304000 saved, average loss: 72.507325058, average time: 1.61684459257                                                                            
Snapshot 306000 saved, average loss: 72.3307721157, average time: 1.60420054996                                                                           
Snapshot 308000 saved, average loss: 72.7326803741, average time: 1.68261239445                                                                           
Snapshot 310000 saved, average loss: 72.6346387959, average time: 1.65789159799                                                                           
Snapshot 312000 saved, average loss: 72.6023381519, average time: 1.72438899159                                                                           
Snapshot 314000 saved, average loss: 72.394377512, average time: 1.69141066194                                                                            
Snapshot 316000 saved, average loss: 72.5533667221, average time: 1.66501252902                                                                           
Snapshot 318000 saved, average loss: 72.7681730404, average time: 1.68540454602                                                                           
Snapshot 320000 saved, average loss: 72.4038475552, average time: 1.66747716546                                                                           
Snapshot 322000 saved, average loss: 72.361870121, average time: 1.59199272346                                                                            
Snapshot 324000 saved, average loss: 72.2586846619, average time: 1.67280320251                                                                           
Snapshot 326000 saved, average loss: 72.4081431866, average time: 1.61226709557                                                                           
Snapshot 328000 saved, average loss: 72.5194304943, average time: 1.59516258943                                                                           
Snapshot 330000 saved, average loss: 72.331503294, average time: 1.59755556202                                                                            
Snapshot 332000 saved, average loss: 72.2504366627, average time: 1.65598130751                                                                           
Snapshot 334000 saved, average loss: 72.5834045372, average time: 1.6418066045                                                                            
Snapshot 336000 saved, average loss: 72.1876856308, average time: 1.73056441903                                                                           
Snapshot 338000 saved, average loss: 72.2697504654, average time: 1.64865959096                                                                           
Snapshot 340000 saved, average loss: 72.1475813351, average time: 1.72629880857                                                                           
Snapshot 342000 saved, average loss: 72.33022188, average time: 1.80131887293                                                                             
Snapshot 344000 saved, average loss: 72.4705659904, average time: 1.68311053252                                                                           
Snapshot 346000 saved, average loss: 72.1713749638, average time: 1.68110362399                                                                           
Snapshot 348000 saved, average loss: 72.4545885696, average time: 1.645169258                                                                             
Snapshot 350000 saved, average loss: 72.2419897785, average time: 1.68637271249                                                                           
Snapshot 352000 saved, average loss: 72.3287544632, average time: 1.65684896553                                                                           
Snapshot 354000 saved, average loss: 72.1157190266, average time: 1.60019275701                                                                           
Snapshot 356000 saved, average loss: 72.4239818954, average time: 1.64786646843

Snapshot 358000 saved, average loss: 72.3083961067, average time: 1.70707666111                                                                           
